,0
219,"At the endoscopy clinic, 3rd floor, special inpatient building Do not ask for a queue card. The patient waited for the clinic to open in the morning. When it opened, there was a lot of chaos. Different people are competing for the queue. The bathroom does not have to go down to go to the 1st place and go down. Please ask the hospital to adjust the access system."
220,"Good service, good patient care, fast results Modern tools Even if the patient is a lot, the doctor, the nurse, and the staff, the service is good."
221,Is the best hospital For everyone&#39;s good quality of life
222,"Doctor, nurse, patient, patient But waiting for a very long queue"
223,Very good service
224,"Please ask Just around the end of 2012, I used to use the department of modern medicine. Doing a second tooth cut, would you like to know if it is still the same today? Because at that time that went to cut the teeth first Get to do it. No need to make a new appointment. Or that depends on the time period The service of the doctor is very impressive. I want a dental department number. I will cut the teeth again. So I can contact you Anyone know, please tell me. # Thank you."
225,"Very good patient care Caring for healing, melodious speech, cheerfulness But there are some points That doesn&#39;t explain much Because some people never come to know, do not have to go directly to do anything but understand because there are many patients The staff may not be able to thoroughly care."
226,"If correcting the matter, the car can be very good."
227,"Was impressed with the service, the doctor was good"
228,"Very sick, so he came to surgery from October 2014 until today, March 29, 2015, arranged for 4-5 rounds, but with the advance. Not a heart Come and wait all day from 7 am. Until 5 o&#39;clock in the evening, calling to meet and say that the bed is full Only a special room Doctor went abroad I was very tired. Can&#39;t wait for an appointment."
229,"Only at Nawamin Building (10th floor), the nurse&#39;s staff, including housewives. Good service. Recommend patients to care. Good care ...."
230,"What is the doctor, the nurse, the service, the good, the talk is good But it has a service center. (J) Some people do bad habits. Speak badly Want to know if you like to bother? If talking like this, it is not appropriate to work in the service. Somewhat aged and should say good things. If he makes a lot of complaints, there may be no place to work. If the update is improved (if going again, still doing bad habits again, ask permission to post to others)"
231,"Very bad. Wait for the 3rd floor file. Tell the file. 2nd floor, 2nd floor. Tell the file to the ground floor. Wait for 3 hours. Terrible management system"
232,Public hospital
233,Thank you for the queue card system. Hundreds of people waiting for the machine to hit five and a half !!! Quick fix 2 times in 3 months as before.
234,"The sick father was a bone marrow atrophy in the provincial hospital. He sent himself to the hospital in Bangkok. He chose this hospital because he was free to treat, but the cost of bone marrow penetration was very expensive. 900000 baht. But when collecting relatives to penetrate the bone marrow to help the father, the doctor said that the cost Pay all yourself. Pity. Father, now still not being treated."
235,The car is good. Train to wake up early.
236,"I am an officer of the Ratchaburi Hospital / Prof. Chula Chula at 13.20 hrs. Today, the female staff who receive calls from Ratchaburi Hospital help me to speak because Don&#39;t have to say ironically loudly Knowing that you are very busy. The referral documents that are sent. A woman who has 24 weeks of stomachs + with twin stomachs with stiff breasts. Can you help me get it? And then help coordinate with, probably not a lot of burden"
237,Dog cot Should take bad habits back to the people at home. Do not use it for others. Do not use emotions more than the reason it is broken.
238,"The mother was sent to Chula Hospital from Bang Phai Hospital. Have an appointment And liver x-ray for cancer detection The doctor, who checked the mother, said that he didn&#39;t have to use the delivery certificate to come and check it. On the day of the appointment, the staff at the counter said that if there was no delivery certificate, it would not be checked and given to the new mother. In summary, my mother had to starve for a time. I fell asleep and waited for nothing. Please ask the hospital to improve the service. And working system"
239,"The elders come to sit and wait for the door to open. 6 o&#39;clock in the morning, when the door is open, everyone runs, just to take the card that is set to be plugged in, but not the 1st place and where it is. Want to know what happened to sit and wait 5? Is a relative of a patient, old, can&#39;t run The adult of the hospital tried to see it at 6 o&#39;clock in the morning. He said that he actually ran like a dead man."
240,"The nurse said because he was very much .. The doctor spoke fluently, explained easily"
241,"Take the child to heal from 4 May 47. At that time the doctor said He will be with us for no more than 3 weeks. Feeling gloomy. Reply to the doctor. That I fight with my children. I gave my child a doctor. From that day until today My baby is still strong. Can use normal life Next year, Bachelor&#39;s degree at Kasetsart University Want to tell everyone that it is patient The doctors here are very good. Modern medical equipment, not private. The treatment fee is much cheaper and there is more help. The problem of people found everywhere, calmly. Arriving here, our relatives have received good treatment."
242,"Terrible, poor staff, no quality. Should develop greatly Should come to check the doctor With the nurse how the actions done with the patients Not interested but expanding the building"
243,"Good, but the car park is a little less."
244,Excellent amulet
245,"Checking is a good step. The staff spoke more fluently than before, but when the appointment had a lot of short queues After returning home I usually have free stuff like fever or cold, and coughing with sneezing."
246,I think it is one of the best hospitals I&#39;ve ever had but never used to be a service for my mother and brother-in-law. The doctor and Atyaasai nurse are very good. This is the opinion of the people.
247,Feel bad
248,"Emergency emergency surgery at the end of the previous period. Stay in the 5th floor of the normal room. It feels very wrong to choose to give birth here. The nurses in the children&#39;s room did not speak well. Both we gave birth to 17,800 cash. Free from other vertical cuts, the wound is not beautiful at all. On the day of returning home, the front of the building does not have a taxi."
249,"The place is quiet, conserved."
250,"Toilet building, third floor, very stinky, no paper, please update with"
251,Have never received service Due to inconvenient travel But watched the 100th anniversary program of Chulalongkorn Hospital Acknowledged the development of medical and medical devices Very modern
252,"Very impressed, very well There is leukemia treatment at Chulalongkorn University."
253,"It is a hospital that treats me when I have cancer. .. Very good treatment. Take care of us, but the nurse until the doctor who examines the body, analyzes the diagnosis of the disease very accurately and treats it. Thank you. Thank you to the staff who treated every meal. Thank you. From my heart, my name. Mr. Theory. Sarik Bhuti &quot;&quot; Allow sharing or posting for others to acknowledge. &quot;&quot;"
254,Every doctor is good and Give good advice
255,"Today come to the doctor at the hospital. The working system is very bad. Came to sit and wait from 7 o&#39;clock to 10 o&#39;clock. Sixth floor file Come to the sixth floor, the file has not been sent Come down to ask the history file downstairs The lower floor tells me to send the file at 9.45. But the ticket is made for a month and in the appointment card at 7:30 am - 8:30 pm But the card file sent 9.45 This works as a question. Then asked the nurse to speak very badly 6th floor staff, Phrapa building, talking very badly If there is a staff that speaks badly to this, the patient&#39;s heart is bad. Please take the staff to train me about the patient&#39;s talk."
256,"Father Ku is a cold fever. He asks for a blanket. You guys, my mother, are black. I just have a blanket. I tell you to cover the cloth and the fever will not drain. Chase me like a pig, a dog Gustavs. Good request. Work like this Waiting for them to be your relatives. Even though she was not able to take pictures Because of work I&#39;m just dead. Don&#39;t take me here. There is a profession to help people, but it is difficult to stir up the heel."
257,"Great, because the service is very good."
258,"Like the people here, very patient and calm, as well as the people of the real people .."
259,"Personnel in the building of the Phor Phor. Day 23, 58. A very old woman. Very bad. Took the father car in the elevator. And told me to not be allowed to wait for the elevator on the 3rd floor. Ran for several floors It turns out that I was left to the 1st floor. What is it !!!"
260,"Ajarn Thanapong Very good and excellent (Special Clinic, Chakkrit)"
261,Already satisfied that he had to wait a long time But it&#39;s okay. Like Dr. Chala Few medicine department understands that patients are really good.
262,Very good. Separate the disease well.
263,Had been exposed to the impression that the daughter had been born But forgot that officer&#39;s face
264,Is a patient of this hospital for over 30 years Thank you to all places and personnel. Even though having to wait patiently every time because it is a step
265,"Trusting to use the service for over 20 years, but the blood queue is very long, waiting for a long time, especially the 4th floor, but overall is very good."
266,The doctor is good.
267,"Place or reputation Good, but why the treatment does not matter much in the treatment."
268,"Excellent, everything, doctor The nurses were very cute and went to give birth to their daughters at the age of 28 years old. Now my daughter is 14 years old."
269,"Like him, his real good."
270,"How bad about the administration system, especially the profile room. Just make a request for the file to go to the building that has been checked for 2 hours. Get 10 queues. Change the system."
271,Don&#39;t want to come again
272,"Appointment 10:30 pm. Check out. 12:00 pm. Ordered to go to the x-ray at noon and go down to the x-ray room. Make new tomorrow Travel from the provinces, waste time Lose travel Nothing Can you manage the job? How many hours does the doctor check? Can I get an appointment for the patient to fit the person? Can you spend time with patients to X-ray?"
273,Used to heal that
274,It&#39;s the worst hospital I&#39;ve ever encountered. Nurses don&#39;t care about anything.
275,Tonight must travel to Chulalongkorn Hospital
276,Is there a sterile cure service? Fit. Interested in. Is the cost expensive?
277,Slow but ok.
278,"When emergency contact, the number on the side of the drug bag is not answered by the other person. Urgent fix in case of emergency turbulence to the hospital should have a doctor ready, not a patient to wait for the doctor. (The child has a lot of abdominal pain, crying until he is reconciled The nurse said that the child doctor didn&#39;t know where to go, then followed and then wait.) Service is good. But should have a doctor ready as well"
279,Parking lot is expensive ... keep it for ????? ................
280,Very good
281,I want to ask if I have to pay for the expenses.
282,Improve call queue
283,"Some clinics have some officials. A lot of patients, but this one, expanded the place. To have a convenient restaurant"
284,"Coming to the doctor once Until having an appointment card, then have to submit the card in the morning in order to receive quick treatment, race against time"
285,Very good maternity care
286,"Good service, Dr. Keng, but waiting for a long time"
287,"Going to use the hospital is not like this hospital, but a lot of people, sometimes queuing, must be frustrated."
288,"Thank you. I would like to review and share experiences for the Chula Hospital administrators to check the pharmacist&#39;s work. Special time clinic Saturday, half day, morning before noon. Why do you know why? Believe that we have to see a doctor at Chula Hospital every month. Lah 1 time. Because the doctor examined 9.00-12.00 hrs. But whether we met the doctor sooner or later We always go back to the last house every year for nearly two years. Is a very bad feeling We went to see the doctor as soon as I wanted to get back soon Which sometimes the pharmacist every Saturday of every month in duty to use us to walk the drug itself Let us go up and take the medicine on the 11th floor. Sometimes I say that the drug cannot be withdrawn. The doctor wrote a prescription that was not regulated by the Ministry of Public Health. There was a time when we were endured because the pharmacist at the 3rd floor of the medicine room told us to go to see another doctor and give the new doctor that we went to look for drugs like our own doctor. Can&#39;t speak at all Out of words to say because I do not know what to use, I think it is very confusing, but that gives a score of 3, because the doctor who is treated with care is very good."
289,I like everything in every class. Please treat this patient equally.
290,excellent
291,"Very good fortune teller But the bad system, like today, the system is not right, the patient does not get the medicine back home. Downstairs staff, social security channel, Phraporn building, also like to put emotions in the face"
292,"The doctor is good ... .... Special clinic, convenient, not expensive as you think ..... It&#39;s the diligence of everyone and the convenience of users. That does not require congestion on normal days ....."
293,Very bad service and very much To press the queue card Sitting waiting for the last hour
294,Nung Goan
295,"Antenatal care at this hospital, both pregnant and nursing staff, as well as the owner&#39;s fever doctor Provide good service and care"
296,Would like to know whether to postpone the appointment
297,"Received very good service, a lot of patients, but all nurses and diligent staff Instead, see Thank you Dr. Surin Asawawithoonthip That provides treatment throughout Is the luck of our family that has been treated with the doctor Thank you"
298,Is Chulalongkorn Hospital still open for service? Call from early morning. There are no people answering.
299,Thank you to the blood doctor. So much to please Maintain a good consultation with our family. The service is very good. Both suggestions or things are good.
300,The doctor and the nurse are very good and kind.
301,Slow but sure !!! Please come and use the service!
302,"Good service, doing very well"
303,"Would like to develop a redundant system to file cards Being reduced to the process of finding an officer, for example, when the doctor finds out when the public has submitted the right, should go to see a doctor. There is no need to queue up for a second round with each staff member because the staff have to work several times, use the staff without need. And many people queuing around Thank you for helping develop the system."
304,"If I want to get cancer treatment at the hospital, what should I do? Can move the right to maintain Tu. Anyone have any information to help with the introduction .. Thank you."
305,"The father said that this school is very good to take care of the children. Dad, don&#39;t worry. There is a doctor."
306,".. Good treatment, Vaji polite. Do not say much, like water Nursing staff working Waiting to take care of even the poor .."
307,"Doctor Kampon Suwon Pimolkun takes care of the patients very well, so he is on duty and is still concerned about the patients."
308,"Slowly follow the style, come to the doctor or come to find the turtle. I walked to walk to the hospital, waiting for the doctor to finish eating, to tell me that I made an appointment. What language work?"
309,"The experience of giving birth, the doctor is very well taken care of, the nurse speaks well. Everyone is in a good mood, always smiling."
310,"Thank you to all doctors, especially Dr. Jiran Apinan, Department of Orthopedic Surgery. Who cares for the patient * Mrs. Kessaraporn Kiat Phanitkij * is very good, as though he had never known before. Thank you and compliment."
311,"It&#39;s good to keep the thyroid here for a long time. Meet a good person. Good. Find bad people. It&#39;s not good. Have never encountered a bad one as well. Finance Department Building, Por Por. 3rd floor. Close the glass. But don&#39;t pay attention."
312,"Dr. Keng, good management system, convenient transportation, excellent medical equipment"
313,The service is very good.
314,Used to use the service 4 times Four and a half stars. The other half is well developed.
315,Anything is slow Some patients wait from 10 o&#39;clock. 6 pm Not yet checked Plus some people have come and have not checked badly.
316,"Very good treatment, but the queue is very long and if the elderly go alone, it is hard to die."
317,"The child had an accident at the Physical Education Department. But can be treated well Use the gold card for treatment. Thank you to all doctors, nurses and staff. At the emergency room"
318,"Was sent from another hospital with a delivery certificate .. but until now, 2 months have not received treatment from this hospital even though everything has been completed Left just waiting for the surgery appointment Until today, I have not received any surgery .. very bad. If I don&#39;t think I will treat it, send it back to the same hospital or not. Do not torture like this."
319,"Do not kneel at the hospital management system. Use a Gold Card patient card to bring your grandmother to the doctor on a regular basis. Sometimes when checking the right, go to see a doctor. But sometimes have to wait for the first card to be called on the first floor How long will the queue be? The system is related to each other."
320,"Financial Services Room, 9th floor. How much is the eye-ophthalmology department? Work like this, be patient, smile, not be together, then seriously ill."
321,The best of the best service.
322,"Good patient care service, orderly and clean."
323,Give good hospitality Fast service Sorting out the patients appropriately according to the disease being treated Nurses or personnel give good advice.
324,"Many patients, but the hospital managed the queue well. But there are some departments that are delayed Because the queue is dropped"
325,Come to many people
326,"The doctor is good, skilled, parking is too small, the public relations system is not as good as the same."
327,"Doctor, nurse, service is good all the time but this is the worst. Because of having to wait for the show room Which is attached to lunch The nurse told me to sit and wait. From noon Without saying that this room nurse came in the afternoon and a half Plus the nurse came to Lethate Came to ask who came first And then ignore the answer Not sorted by actual queue People come later to gain sensitivity. Should have better management. The time of others is valuable. Not having to wait without knowing the goal. This is a waste of time."
328,"Is a hospital that has a lot of people Have to wait for a long time, but still lucky that there are nurses and kind-hearted A lot of people are still trying to queue up."
329,"Very good service, good talk, good manners"
330,"24/05/58 Go to the doctor because it&#39;s not comfortable. And asked for a medical certificate Bully at the examination room 9, he asked what kind of needs Then replied that he took it to the office because he stopped working She wrote wrongly, murmuring that Really waste time Asked and asked again. Therefore asked her to complain about what Waste time? She was a little embarrassed because she didn&#39;t think of her garden. She said that she was afraid of wasting time waiting for her. She was named &quot;Dr.&quot; (Abbreviation!). #feeling bad"
331,Wait a bit for the doctor.
332,"Good, Dr. Weng, Saad Hospital, convenient and good service."
333,Waiting for a long time. Can not use at all. Wait 10.21 o&#39;clock in the morning.
334,Every level of service is impressive.
335,"Doctors and nurses have expertise in treatment and care. Provide advice and answer questions about the disease thoroughly and politely. Including a hospital, a medical school Therefore have all the tools Make the patient confident Although it has to wait for a long queue But is confident in the quality"
336,"Staff give advice Very convenient since finding a way to the emergency room, financial room, withdrawing equipment and finding a path to the ward. With security guards, waiting for advice on using the lift service that will take care of the nurses .. nurses are lovely, friendly service willingly The bathroom and the place are very clean."
337,The doctor takes care of the patient with care. Have any questions. Ask the doctor about everything. The doctor responded and recommended as well.
338,"Now, treat cancer with thyroid. Chula Hospital, good service Modern medical devices and very specialized doctors with enough amount of patients every day All the staff that we went to serve Was impressed with the service, both location and personnel"
339,"Go to use the service outside the time [emergency room] including ok But have to wait a long time Because it is a government hospital Many service users Waiting for a full 2 hour check The doctor examined the age of only one person. Some times there are express cases in the emergency room. The doctor had to go to the emergency room at the emergency room, then check it out later."
340,Nursing service is good.
341,"How many times have you treated at Chulalongkorn Hospital, how impressed you are with the service, both the hospital staff and the doctors? But good service, fast, reasonable There are restaurants in each building, almost every floor. How long does it take to wait for a queue to be irritated? Treatment, not to mention scoring from A10 So full"
342,The nurse staff is the history person before visiting the doctor. But refused to see the details in the history from other hospitals that made the matter to be delayed and wasted time explaining about what the nurse would send to check / vaccinate repeatedly in what had been examined While seeing a doctor is only a consultant But the nurse ordered what to do.
343,"Good care, great attention"
344,The mother came to give birth on 2 December. The doctor and Phayabab gave excellent service when the mother entered the delivery room. The doctor and the team were always advised to give birth. He was born at half an hour until the mother couldn&#39;t handle the doctor and the team took care of the question periodically until his mother was not good. And inquire about whether Do not know her sterilization.. A mother myself have felt the way. The attentive and well cared for since birth until I was very impressed with what has been from. The university here.
345,Go about the respiratory system. There is a good queuing system. Wait no longer. 8.00-11.30 For treatment at the government hospital
346,"Chula Hospital is a large hospital with doctors who are good at almost every branch. Patients will use a lot of services. Can count in thousands per day But the hospital has a good patient service system. Even if it has to wait for 1-2 hours. If you do not hurry, ask to come in late Various steps will be available until the officers are ready to tell the plateau. I would like to compliment all nurses. Good service. The face was smiling (especially the 3rd floor of the Jongkonei building). There was a downside when it was necessary to contact the buildings. Because the hospital has a large area There are a lot of buildings in the hospital. Have to ask each other all the way The bathroom in the hospital is reasonably clean. The doctor who gave the treatment was good. Ask what is always welcome. The overview of Chula Hospital is considered good. There will be a lot of travel to the hospital. If the doctor strikes the morning, he must hurry out of the house from the fifth hit. In order to receive a queue card than to meet the doctor for a long time Sometimes have to wait until the afternoon There was an appointment at Chulalongkorn Hospital when I was wasting time every day. Oh, CP&#39;s restaurant is clean, delicious, inexpensive."
347,"Large hospitals, a lot of people, but doctors and nurses are good. Pay attention to patients"
348,"The evening of October 26, 2016, the event on that day, I still remember well. That day I was bleeding after birth at home. My house is in Ratchada-Thapra. My husband and I think that I will go to Chula Hospital because it is the hospital that I gave birth to and brought only 1 week old child because no one cared. But that day, the car was raining very hard. On the way, I felt dizzy and short. I and my husband decided to visit one of the hospitals which was the way. My husband drove to the front of the emergency room. And called for a wheelchair request But the guard said that he went to himself. The husband, therefore, got back to go to the bed and wheelchair service. My husband called the caretaker there to sleep with me. And my husband carried the child At that time I still stood. Then the caretaker said that I jumped on the car while I was flooded. I replied that How would you give me a jump? I was short. This bleeding bar Can you help me find a place to try my feet? The officer then went to find a place to try my feet to get me to sleep. And then let me lie down Then wheeled to the inside When reaching the inside There are employees to wash history. Once the history is finished, the pressure And asked me why I slept I took the head to the sidewalk like this, so I answered that the wheelchair officer had to sleep like this so I slept. The officer washes the history, then orders to sleep like this. And while I lay there, there was one guard coming in Said to that person [May not be a bit polite.] Mar, I have a crazy man. My wife is sick. It pushes me with a car, throws a car in front of the wheelchair. To tell him to move the car, it was said that it could not be moved Because it holds the baby When the guard came to speak, I didn&#39;t see that I was there. After that, the staff pushed me into the emergency room curtain. And said that I would wait for the doctor to check for about 20 minutes. There was a doctor to open the curtain I think I will come and check me. Take another patient to check in the same curtain as me. I&#39;m afraid another patient is shy. I turned away. When the doctor finished examining that patient So I asked if the doctor would check me later. The internal doctor answered that she was not. I didn&#39;t know about Cresy. And the doctor went out For a while, there was a doctor who trained his people to wash the history again. After completing the history, I asked if this was 1 hour and the blood flowed out and did not stop until all the time had passed. And the apprentice doctor said that Wait to ask. 20 minutes passed, I still didn&#39;t get an answer. So I called the nurse saying that I could move the hospital. I can&#39;t. I&#39;m afraid. The blood came out a lot like this. The nurse then said to me, why would you stop here? Why not go to the hospital that you have social security? Or the hospital you gave birth to I said that I was bothering to help my husband. Nurses do not look satisfied. And went to stand, shouting, pointing the finger, calling my husband to hold me When my husband came in, I Told my husband that I was scared of blood so much. My husband asked if the doctor came to check or not. I answered that my husband walked to ask the nurse that when the shoulder, the doctor would come to check my girlfriend&#39;s blood. The nurse replied that he was waiting for the queue. At that time my girlfriend became angry. My husband asked for a hospital. The nurse then walked to measure the pressure for another round. And said that it is disturbing to pay At that time, I slept in the queue for about 1 and a half hours to 2 hours. My husband took me to move the hospital by private car to Chula Hospital. Tell the hospital Chula service is very good. When parking in front of the emergency room Staff rushed to pick up the car Wheelchair access, emergency history, pressure measurement, blood collection, saline examination, blood washing on me Change clothes Once the bleeding was done, he went to check inside. The doctor said well, the service is very good, not waiting for the death of the patient. And my husband didn&#39;t have to carry her own child Because there is a nurse to take care of the child building My girlfriend went to walk for me without worrying."
349,"What do you do for this review, but we go to the hospital to be treated very well until today. The service is good. Care is good. Encouraging our children throughout the period that she is keeping, admiring this student"
350,"In the hospital, the patient service is very good, caring for the patient, the doctor is very specialized. The nurse cares about the patient."
351,Doctor
352,"On April 7, 2016, I myself felt that there was no strength, pale, yellowish color. I thought what I was like, why it was so much so that my brother and my girlfriend could not tolerate it. I came to Chulalongkorn Hospital. I myself had no strength to walk, so I had to use a wheelchair to sit in the examination room. I had a very thorough examination of the disease. Both X-ray doctors examined my saliva and diagnosed it. t Began just lung disease just recently started my doctor just told me to take the medicine as the doctor instructed me to go, I feel happy and I am very impressed doctors at this hospital."
