,0
116,"My name is Sataporn Lep San. I am unlucky to be asphalt. Three years to realize that Went to the hospitals Go to buy haphazard self-medication Until he moved to work in Bangbon area, got social security at Bangpakok Hospital 8 Therefore heal himself here But since the previous period had bought medicine to eat Which has a mixture of stains, causing me to swell the weight from 52 until 93.3. The treatment at this hospital was not cured and swollen. The doctor just told me to choose to be hurt or be beautiful. There is only this option for me until the last Bangpakok 8 made the matter. Send me to go to Bang Pakok. 9 Just say that he is more adept at this disease. But I went to keep the distance. There was nothing better. Many people recommend going to Siriraj. Finally, I met a specialized doctor. I had to find a preemption for one full month. When I saw the doctor, the doctor looked at my face. Told me that I would release myself to enter the cross weight loss express As for the treatment of the disease, the doctor said that it is very expensive. The drug drops 100 baht per day. One day, you have to eat many pills. You better go back to the same place, but if he can&#39;t heal you, send him here. Come to the doctor, the doctor will treat you yourself This is what I am impressed. Direct advice. So that patients have an alternative"
117,The doctor gave good treatment and spoke well to wait for a long time but it was good. Impressed the doctor
118,Already impressed with the hospitality and good advice (the doctor was kind)
119,"Bring loved ones to treat diabetes. Stenosis At Siriraj Hospital, the building is 72 years old. The nurses are cute. Thank you to everyone who took care of us when we were sick. Help find the cause Today we will take the loved ones back home with almost 100 percent of good health. He promised to take care of health. Because his life had to work for the land and take care of his children, thanks to Siriraj Hospital, all doctors and nurses As well as the staff who help with care for 5 days"
120,The doctor is very calm. The nurse is pretty cute.
121,"Son treats allergies here every time. Every doctor will look at the history of the child from birth to the last. Everybody looks at the treatment of every department that the younger brother gives advice, encouragement and watch the strength as well."
122,"Very patient, but all nurses and personnel work hard, but everyone is very kind. To clarify and help in all aspects The doctor examined very thoroughly, even with a lot of patients."
123,The doctor is reliable.
124,"Great service I am an outsider, contact the staff, have good support, speak well."
125,"Doctor, nurse, very cute, caring, trying to find the cause until found Have morality in caring for patients"
126,"Initially entering the ER because Mae Fall And high fever Got a bed at Chalermprakiat Building, 4th floor, which is an ordinary bed Did not allow relatives to watch The nurses and the nurses, the nurses are very good. Is impressive in service"
127,I received treatment for cancer until he had recovered and lived like a normal person.
128,"Because the treatment requires surgery And I chose anesthesia Feeling anxious and frightened by having to stay at the hospital before 1 day before that, must have an X-ray with a blood test first. Going to do too many steps, not feeling like when we make a cut, then there should be a point to receive this directly, not having to go with the regular checkers from 9 o&#39;clock to finish the process until reaching the room approximately. Noon, after that there was a doctor, doctor or anything unknown. Ask one question or two questions. Go all day, afternoon to evening. The next day was the operation day, waking up to the bathroom, showering, preparing for eight o&#39;clock to pick up the waiting room. Arrived and asked if he had done anything, measuring the pressure of the salt water for almost nine o&#39;clock into the room, using the cloth to lock the arms, not knowing what to do, putting oxygen and injecting the salt water line Then did not feel awake in the waiting room, cut his eyes, felt heavy or irritable Feeling parched with phlegm, swallowing a lot of pain, like having a neck injury, measuring pressure throughout the pulse and measuring the final fever too."
129,Service is available
130,"The location is cramped compared to the number of people using the service. But the staffs are full of service Although many people every day, every time, but the doctor, the nurse, the staff spoke well with the patient. Although some people are frustrated, but overall everyone is cute."
