,0
150,"I have never forgotten that this Ramayana hospital has saved my life. I was sick about 2005. I was seriously ill in the brain and I was treated well with everything. I have a healthy body. Everything, I would like to thank all the doctors and doctors here and the protection that this place has saved women. If I have the opportunity to help one way of &quot;&quot; Ramathibodi Hospital &quot;&quot; I am happy to help."
151,"One of the three major medical institutions in Thailand, Ramathibodi Institute, Chula and Siriraj."
152,Like cleanliness
153,"Is a state hospital with good treatment and service standards Even though the patients who use the service will be very But do not know how to wait for a long time like the other hospitals Which waited longer than would be examined by both doctors, nurses and personnel in the hospital to assist"
154,Want to know the telephone number of the hospital? Who knows?
155,Is a bad hospital Bad work system
156,"I am a relative of a patient from a foreign country. In the case of surgery, having to stay for several days, I have to suffer from the problem of sleeping. Massive hospital but no place for relatives to sleep There is only one place behind the emergency building. There are 20 long chairs in the middle of the walkway, the whole person walking the bed, the patient passed through the night, the newcomer, no equipment, had to sleep with the floor, walked and watched. I asked the staff to see if there should be a bed for a better relative. A little more. He said that he had offered the story up but was quiet. Why would you just make one room for the patient&#39;s relatives to rest at night to make How much do you pay for the hospital? ... Even though you can be from hundreds of thousands of patients, there are millions. * If you see this message, please take it to consider."
157,"Today, go to family medicine as a new patient. I didn&#39;t catch up with the interview room. Do not reconcile whether to come to check or not."
158,"Keeping the son from 1 year until 9 years old Every lovely doctor, nurse But there are some doctors that are still very low. Speaking, treating patients and patients with relatives is somewhat soft. Maybe because the child is not able to control his emotions well And have never had children Therefore do not understand people with sick children When one day the doctor had his own child, which was born from himself That day, the doctor will understand me today. But the whole picture is the best hospital for me. The intent of the doctor and nurse is to take care of the most patient. Which I have always seen that intention throughout the period of treatment for 8 years. I am still confident to keep here and appreciate all the personnel of This hospital loves Ramathibodi Hospital."
159,I want to contact the disbursement department directly. Which the number that has been acquired as a finance When calling to a woman before receiving the call Insert in phone # Boring. How can you speak? You speak to someone or complain. I don&#39;t know. But it is something that should not be done in the service profession Call me. 080-611-0369 Not stamped from the first time
160,My mother searched for a doctor for a year. Just support the symptoms Just open your mind to supplements. This is the result.
161,The doctor and the nurse take care of the patients very well. Especially the gynecological department Was very impressed
162,"I like the new building like the children&#39;s department. Private hospital The cost of treatment is higher than usual, when it can be handled well on the coming Sunday and can be found. Doctor teacher Keeping the ball at the point of not having to find a long time"
163,The doctor gave good advice. The price is higher than normal because of the premium clinic. But met a doctor Our children will get to the point. Like this hospital
164,"Blood Collection Unit Today, about 6.45 am. I saw aunt filing her documents. She held up the documents on her hand for her to see and pretended her neck (her meaning is that I still did not finish other documents) which actually used the words &quot;A moment ago&quot;. I think it looks good. Much more Oh, she put on a pair of glasses from the left. But admired the male staff who held the queue at the outpatient department, family medicine and in the blood chamber Lovely. Both people are polite, speak fluent. Thank you. Rama gives good things to the villagers."
165,"Requesting a massacre to watch for TB patients The nurse asked if anyone told relatives, nurses said that Seven had sold ... or the state hospital that requested donations for the poor .. This habit should not be a nurse .."
166,"Thang Mo Thang, a nurse, very good service, like going to a private hospital. All nurses are friendly, smiling. If not mentioned, the hospital name would be considered private."
167,Doctors and nurses here are pretty to everyone
168,"Who gave the stars because of the likes of the museum here But the nurses here spoke to the patients so badly. Use polite words But this tone is the worst Understand that many patients, but work in nursing Must have some ethics This is done to eat the patient. (Phra Thep Nursing Building, which is directly into the line at the 1st floor blood collection And at the 2nd floor pressure gauge, it&#39;s really upset.) There are a lot of good nurses. But the poor people who are the least make the hospital look worse in our eyes."
169,"The doctor, the nurse is very good, but the money is already done. This real life of you should be happy, prosperous"
170,"Department of Ear, Nose and Throat Nurse Was in the room, arranged to go in front of the door, talked badly, the service was bad, we sat in the queue to observe Speaking to patients who are waiting very bad is that we don&#39;t know where to pay. We put the leaves in the basket, direct the nurse (that person). We waited a long time, so we asked. I&#39;m sorry. I do not know where to pay. The nurse replied that I put it here. This is not the place. That was paid outside, we were confused. I asked. Good answer. Guan .... Very bad service. Everything is fine, cancel this lady."
171,But there is a little bit of interest. We will buy the rice. I can&#39;t ask to be scolded.
172,"Health check abroad, Ethiopia, no. How much does it cost?"
173,"Today, come to see the doctor, 2 doctors, but zone B. Today, nurses sitting at the counter in front of us, we put the files to place. Just ask for a prescription because you can&#39;t find it. The nurse picked up Because the doctor attached to the back Submit a prescription to us Then hurl the file into the basket, what is the manners? Terrible service. Please tell. Is thinking if it&#39;s an aunt&#39;s uncle If Eie swings the patient file into this basket Is that you are not really a nurse (The person sitting in front of the counter is fat, the skin feels a bit shrewd.)"
174,"The remaining two days will leave Rarama and be very impressed. From 14 Dec 58, I am an ordinary eye department. Every man is a nurse. Everyone speaks very well. Friendly. Does not make patients stress. The doctor went up to check every morning. Wash the history until fine Then heal very well Thank you to all the doctors and nurses who made me see again. Thank you for everything 16 days. Rama Hospital is difficult to forget. # Very impressed."
175,Good. Very good. Best.
176,He is currently maintaining good service.
177,"Is a modern hospital Thank you very much to Dr. Tharin Thammongsa, who had performed gallbladder surgery successfully. Thank you to the nurses and staff in the accident building for the care of the patients."
178,"I had been resting for an eye disease for about a month, and many years ago I had 5 eye surgery. The time was well received by the medical team and the nursing team. Thank you from your heart"
179,Improve your talk. Terrible. Female nurse. Talking dog.
180,"Very good service from the provinces, feeling tired"
181,"Other agencies are good because they need to contact many parts, but the screen must be suggested. Receive a treatment at the clinic outside of the time. Place the card at ten o&#39;clock. The staff can tell. 15.00 hrs. Hurried from the afternoon two, the officer told me to wait for the third afternoon to go and find what to eat before the third afternoon, 15 minutes, to sit and wait for the call. Can not walk to ask the staff to call, and the document is in front of the third afternoon."
182,"I like the hospital, but I don&#39;t like the service to call because I don&#39;t meet the queue specified in the appointment."
183,"Keeping here for over 30 years, a lot of people are tired."
184,Have to endure the consequences of not being treated for a long time with Ramathibodi Hospital
185,Maintain a new brain. My grandchildren have a little blood.
186,"Good service, fast, not wasting time waiting"
187,"1 o&#39;clock in the afternoon, not yet in. Old dental department"
188,Today Marama sees great security.
189,Leave your life here.
190,I love here. Thank you to all the doctors and nurses who have helped and taken care of my family life. But came to lose the feeling with the female doctor Parawee Speaking to patients and nurses is very bad. Unfortunately there is a high IQ. But the EQ is very low
191,Come to the family medicine department on 25 December 2015 to provide services and recommend patients very well There is a check at noon as well.
192,The best government hospital in Thailand confirmed by Psychiatric Ward.
193,"Leave a bit for anyone who needs medical equipment. We have a cheap sale. Genuine products have bad insurance, can be changed from the company to say hello or ID: pinpmm27"
194,"Well, the provincial hospital is very bad. The daughter is sick but is 9 years old. Now 22 and go back every 3 months."
195,"All nurses and doctors are very attentive, clean and convenient."
196,The queue is late. Doctor appointment is 15.30 but has been checked for 16.30 despite having to wait from 14.00.
197,"Usually a person who is afraid of surgery Various thoughts But by the time we had to go to the dissection room, the staff had been taken to talk to the operating room Talk about the treatment. Ask the patient. Are you afraid? Don&#39;t be afraid Encouragement Holding hands by the body Around to be aware of all the time to book a surgery Which steps have impressed the public hospital service?"
198,"Antenatal care at Rama Hospital, doctors and nurses say because and very kind"
199,"Paya went to treatment at ER Ramathibodi Hospital. The doctor will inject color but 80 patients. So we don&#39;t want to do it. But patients still have to be treated with disinfectants. Medical students say that when patients do not treat, we do not need treatment."
200,Good service
201,"There is a good management system for treating patients. Wait a little longer, like in the past, and the doctor is good."
202,"Several years ago, I used to bring Ama to treat my eyes at the eye department of Ramathibodi Hospital. Services of doctors and nurses Is considered moderate Not good or bad? But the services of the financial staff at the eye department Very bad manner The reason is ..... During that time, near noon And the staff will close the box Which we did not say anything Waiting in the afternoon, not in a hurry, but we have already asked that official. Can wait for the queue? Or have to wait in the afternoon Will bring Arama to eat first The officer then said that he pressed the queue. We then pressed and submitted the drug document. Then he had to sit and wait We waited a long time. Until the officer closed the box So we got up and asked, &quot;When will you call the queue? Because there is no queue at all There are 2 people waiting for us with A-Ma. He doesn&#39;t know what to say. You don&#39;t have a queue. You haven&#39;t pressed the queue. We then submit the card, press the queue, see and say that you have submitted the drug document to you as well. The name of the patient .................... He was looking for something like a rubbish, so he was still looking at the trash. Too bad, we have this hot head Service is terrible since then, never thought of stepping on this hospital again. Continue to make the doctor&#39;s reputation good. Anyway The service of the staff is terrible. Another manners"
203,Not waiting long
204,Every doctor is very well treated. Friendly Time to treat
205,"That day, my aunt was very sick. Call an ambulance to pick up at home When he arrived at the hospital, the nurse helped him well. The doctor said the condition was very heavy. 50 50 because my aunt had a lot of underlying diseases. Must wear a respirator Until the doctor had to say that the patient might not survive But knowing that Until the survival percentage is low But the doctor and the nurse take good care of my aunt My aunt&#39;s condition is getting better. Until now can go home"
206,"Slow service, a lot of people, little doctor"
207,"Access to premium clinic services Somdej Phra Thepparat Medical Center, good service, smiling staff Everything is convenient, fast. A little queue will have a long time when waiting to see a doctor. Wait two hours to see a doctor three minutes Convenient payment fast Fast check-out, good parking, less beautiful places, with 7-11 banks, food centers that are not expensive, almost never have an empty table, no matter what time, Phu Fah Starbucks shop, etc., helps to wait. Too boring The doctor examined with care and clarity. Service fees are a little expensive, but overall it is considered acceptable."
208,Is a public hospital that elevates modern services and good appication in checking appointments with hospitals is very good
209,"Clean, doctors and nurses are all friendly, excellent service Modern tools"
210,Nurses look after patients Both as a government hospital
211,"With a long sound And have people close to receiving treatment And I was one of the donors for the Ramathibodi Foundation for a long time But when the father admitted to the accident and emergency room Not being treated as expected Combined with no staff room, especially the nurse and the uncle who spoke badly Finally have to move the hospital."
212,Ramathibodi Hospital. It is a good hospital with many quality personnel. The tools are complete and modern. Create peace of mind and confidence for the users
213,Good patient care staff Old people find a seat to rest Most nurses speak pleasantly. The doctor is very friendly to the patient. Not holding a cute character
214,"Take care of your father very well Father is cancer admit for 2 months. Now Father is ready to go home. From having to stay in the icu room, take good care of the nurse Forget about being a government hospital. Services like private"
215,"Is a state hospital that has a doctor At every teacher level, the appointment system is convenient via telephone or health consultation via the hotline. Give advice as well, call to consult the medical department to talk to the doctor at all times when there is an illness. Emergency department Fast patient reception Clean emergency room, doctors have many people diagnosed by the doctor&#39;s team."
216,"Impressed. It is a state hospital that has better service than other places. The nurse is very kind. Although there are a lot of medical students who come to practice Secretly having a group chat But at the time of checking, it was quite clear. Clean, modern hospital There are various restaurants within the hospital. In the heart of the city, well equipped"
217,The service staff are smiling and friendly. Provide detailed and easy to understand information
218,"The nurse, the nurse, is very good. Clean people."
219,"The service is good, the hospital is clean, the doctor inquires all the time, always looking forward to asking the symptoms of the doctor, the nurse is very friendly to the patient."
220,Very good service
221,"The patient is quite large, causing the service to be somewhat delayed. It may be from a teaching system, a doctor instructor giving very good advice. Including exercise, eating, self-care for patients to reduce drug use Can take care of their own health"
222,"Waiting from 9 am to noon, not receiving treatment."
223,"Dr. Keng gave clear and good advice. Modern surgery, clean, surgical wounds heal quickly Not painful after surgery. The medicine that is fit, the procedure of examination and payment is a little more complicated than a private hospital. As an inpatient, there are a lot of steps, but each doctor is very detailed and attentive to the patients as much as possible."
